year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,
2010,52833,P짱은 내 친구,코미디, 드라마,마에다 테츠,츠마부키 사토시, 오스기 렌, 타바타 토모코,“잘 길러서 다 크면 잡아먹자.” 교실에 돼지 한 마리를 데려온 선생님이 말한다. 18년 전 오사카 초등학교의 실화이자 TV 다큐멘터리로 방송되어 큰 반향을 불러일으켰던 내용을 바탕으로 한 영화. 정든 돼지를 정말 잡아먹어야 하는가, 잡아먹는다면 그 시기는 누가 결정할 것인가. 아이들은 돼지와 함께 음식에 관한 태도와 생명의 존엄을 배워간다. 일본 최고 인기배우 츠마부키 사토시 가 선생님 역을 맡았으며 26명의 아이들의 순수한 눈동자와 말 한마디 한마디가 가슴을 울리는 감동으로 다가온다. 어느 날, 6학년 2반 담임 호시 선생님은 반 아이들에게 귀여운 아기 돼지 한 마리를 소개한다. 다 함께 돼지를 키워 자라면 잡아 먹자는 선생님의 제안에 아이들은 놀라지만 귀여운 아기 돼지를 너나 할 것 없이 사이 좋게 돌보기 시작한다. 운동장 한켠에 돼지우리를 만들고 “P짱”이라는 이름까지 붙여준 6학년 2반 아이들. 생명과 음식의 소중함을 일깨워주기 위해 시작된 선생님의 특별한 교육을 통해 아이들과 P짱은 수많은 우여곡절을 함께 극복하며 많은 것을 배운다. 그렇게 소중한 추억을 쌓을 동안 어느덧 훌쩍 커버린 P짱, 그리고 이제 졸업을 앞둔 아이들은 처음 선생님의 제안처럼 P짱을 잡아 먹을 것인지 그대로 살려둘 것인지에 대한 결정을 해야 하는데…,,,,,,,,,,,,,,
2010,101437,WORKING!! 1기,애니메이션,히라이케 요시마사,후쿠야마 쥰, 아스미 카나, 후지타 사키,패밀리 레스토랑 '와그나리아' 점원들의 이야기.,,,,,,,,,,,,,,,,,,
2010,77736,YB의 나는 나비,다큐멘터리, 드라마,정흠문,윤도현, 박태희, 김진원,데뷔 15년, 명실공히 한국 대표 록밴드로 등극한 ‘국민밴드’ YB. 2009년 8월 YB는 한국 밴드 최초로 미국에서 열리는 지상 최대 록페스티벌인 ‘워프트 투어’에 참가하게 된다. 들뜬 마음으로 미국행 비행기에 오른 YB는 미국 록 매니아들의 무관심 속에 시애틀에서의 첫 공연을 시련 속에 맞는데. 같은 시각 미국 동부에 사는 이민 2세 소녀 써니. YB의 미국 투어 소식을 듣고 써니는 멀고도 고된 여행길에 오른다. 친구 미카야와 함께 떠나는 로드트립에서 써니가 YB의 열혈팬이 된 사연이 드러나는데..... 과연 YB는 광대한 대륙의 각양각색, 천차만별의 미국의 록매니아들에게 한국 록의 진수를 보여줄 수 있을까. 또 그들의 어린 팬, 써니는 YB를 만날 수 있을까. YB의 미국 워프트투어 록페스티벌 유랑기를 담은 다큐멘터리 영화.,,,,,,,,,,,,,,
2010,73918,가디언의 전설,애니메이션, 모험, 판타지,잭 스나이더,휴고 위빙, 짐 스터게스, 라이언 콴튼,인간들이 모르는 하늘 위 세상, 왕국을 지배하려는 사악한 순수 혈통과 그들로부터 올빼미 세계를 보호하려는 가디언과의 대전투에 대한 위대한 전설이 있었다. 어린 소렌은 전투에서 승리한 후 ‘위대한 가훌의 나무’에 은둔한 채 왕국에 위기가 닥쳤을 때만 그 모습을 드러낸다는 전설 속 가디언들을 굳게 믿으며 언젠가는 자신도 그들과 함께할 날을 꿈꾼다. 어느 날, 소렌을 질투한 형 클러드 때문에 비행연습 중 나무 위에서 떨어진 두 형제는 순수 혈통에게 납치당해 그들의 손아귀에 붙잡힌다. 다른 올빼미들의 도움으로 가까스로 탈출에 성공한 소렌은 그들과 함께 순수 혈통을 물리칠 수 있는 마지막 희망인 전설의 가디언을 찾아 ‘위대한 가훌의 나무’가 있다는 바다 너머 안개 속 세상을 향해 날아간다. 전설의 가디언들이 존재하는지는 아무도 알 수 없지만 자유를 위해, 꿈을 위해 소렌은 믿음의 날개 짓을 멈추지 않는다!,,,,,,,,,,,,,
2010,74771,검사 프린세스,드라마,진혁,김소연, 박시후, 최송현,법무부 강당, 신임검사 임명식이 진행되고 곧이어 혜리는 검사 임명장을 받으며 신임 검사가 된다. 검사라고 하기엔 너무나 여성스럽고 예쁜 혜리에게 사람들의 시선이 꽂히고 혜리는 그런 시선을 즐긴다. 잠시 후 스포츠 매장에 간 혜리는 명품 스키복과 용품들을 사고, 친구인 유나를 만나 스키장 갈 준비를 마친다. 한편, 마상태(혜리부)는 혜리엄마가 쓰러졌다는 소식을 듣고 병원으로 달려왔지만 금세 괜찮아진 혜리엄마를 보고는 혜리가 검사가 되는 날인데 왜 하필 이때 자기를 불렀냐며 소리친다. 혜리엄마는 기막히고 서운한 마음에 혜리에게 전화하고 이윽고 짜증을 내지만 명품을 사다주겠다는 말에 화를 누그러뜨린다. 스키장에 도착한 혜리는 스키를 탈 생각에 정신이 팔려 지갑과 핸드폰을 차에 두고 내리는데…,,,,,,,,,,,,,,,
2010,71487,검우강호,액션,수 차오핑,정우성, 양자경, 서희원,명나라 시대, 8백년 전 사라진 달마의 유해를 차지하기 위해 전국의 검객들이 한 곳으로 모여든다. 황실의 명으로 달마 유해의 반쪽을 보관하던 지앙(정우성)의 아버지는 달마의 유해를 노리는 암살단에 의해 살해당하게 된다. 아버지의 복수를 꿈꾸며 매일 같이 검술을 연마하며 조용히 살아가던 지앙은 얼굴도 바꾼 체 소박한 우편배달부의 모습으로 살아간다.  정체를 숨긴 체 살아가던 지앙은 같은 마을에서 비단 장사를 하는 ‘정징’(양자경)을 만나 사랑에 빠지고 결혼까지 약속하게 된다. 하지만 정징이 정체 모를 검객으로부터 공격을 받게 되면서 그녀의 정체가 서서히 밝혀지는데…  또 다시 강호의 전쟁에 휘말리게 되는 지앙! 그리고 결전의 순간 이들 앞에 모습을 드러낸 충격적인 한 사람! 비극의 검의 전쟁은 지금부터 시작된다!,,,,,,,,,,,,,,,,,
2010,71211,경,드라마, 가족,김소영,양은용, 이호영, 공예지,엄마의 49재 날, 동생 ‘후경’이 떠났다. 101번째 날, 언니 ‘정 경’은 동생을 찾으러 길을 나선다. 여자 주인공 ‘정 경’은 여동생을 찾기 위해 남강휴게소 어딘가를 계속 헤매지만 보일 듯 보이지 않는 여동생의 모습은 그녀를 계속 애타게 한다. 휴게소의 다른 사람들도 눈에 띈다. 컴퓨터를 잘 다루는 실직 청년 '창'. 한산미디어의 기자인 '김박'. 남강 휴게소 여직원 '온아'. 또 트럭에 없는 것이 없지만 정작 아내도 집을 나가고 아무 것도 가지지 못한 만물상 남자. 그들은 같은 공간에서 스쳐가지만 서로에게 자신이 찾고있는 삶의 단서가 있다는 걸 눈치채지 못한다. 컴퓨터에 능한 ‘창’이 만물상 남자의 아내를 찾아낸다. 김박의 카메라에서 ‘정 경’은 동생의 사진을 발견한다. 그리고 ‘김 박’은 ‘정 경’이 찾는 ‘후경’이 ‘온아’와 채팅 친구임을 알게 된다. 타인이었던 그들의 표류는, 영원히 계속되는 순간의 장소, 휴게소에서 어떻게 흘러갈까? 영화제 소개글. 경(Viewfinder) 은 남강 휴게소에서 오고가며 만나는 사람들의 다양한 삶의 순간들을 포착한다. 정경은 여자 동생 후경을 찾고 있고, 직장을 잃고 휴게소에 머물게 된 창은 컴퓨터 도사다. 통영 지역미디어의 기자이자 사진작가인 김박은 휴게소에 자주 들른다. 휴게소 직원이며 유명 블로거인 온아는 새로운 아시아 하이웨이를 꿈꾼다. 88만원 세대가 그리는 가상의 여행이기도 하다. 이들은 디지털 시대의 상실과 외로움 그리고 소통을 보여준다. 집을 나간 동생을 찾는 언니, 직장을 나온 뒤 떠도는 애니메이터, 그리고 기자와 고속도로 휴게소에서 일하는 사람들. 김정 감독은 무언가를 찾는 사람들이 구현하는 다양한 프레임을 보여준다. 그것은 사진 속에, 인터넷 속에, 메시지 속에 그리고 무엇보다 영화 자체에 들어 있는 정보이자 삶의 움직임이다.,,,,,,,,
2010,71355,경계도시 2,다큐멘터리,홍형숙,송두율, 정정희,2003년, 재독철학자 송두율 교수는 체포영장이 발부된 상황에서 37년만의 귀국을 감행한다. 그러나 그는 열흘 만에 ‘해방 이후 최대의 거물간첩’으로 추락하고, 한국사회는 레드 컴플렉스의 광풍이 불어온다. 그리고 그를 구하기 위해 노력했던 그의 친구들조차 공포스러운 현실에서 자유롭지 않다. 그리고 6년이 흘렀다. 2003년 그는 스파이였고, 2009년 그는 스파이가 아니다. 그때 그의 죄는 과연 무엇이었을까? 그리고 한국사회는 그때와 얼마나 다른가? 2003년. 체포영장이 발부된 상황에서도 37년만의 귀국을 감행한 재독철학자 송두율 교수는 입국 1주일 만에 존경 받는 해외민주인사에서 해방 이후 최대의 거물 간첩으로 추락하게 된다. 이어지는 구속과 재판 그리고 석방. 누구도 예측하지 못했던 광풍 속에서 한국사회는 보수와 진보 사이에서 일대 격전이 벌어진다. 5년이라는 긴 시간 동안 감독은 조용하고 차분하게 이 사건을 되짚어보면서, 우리 사회가 안고 있는 모순점들을 냉철한 시선으로 보여주고 있다. 때론 불친절한 이야기 전개와 알고 싶지 않은 진실을 접하게 되는 힘든 지점들이 있지만, 망각의 힘으로 살고 있는 우리네 자화상을 보면서 가슴이 먹먹해지는 것을 지울 수 없다. 이 작품은 망각을 일깨우는 우리 안의 카메라다. DIRECTOR’S NOTE. Dynamic Korea, 한국사회는 여전히 숨 가쁘다. 그렇게 사건으로부터 6년이 흘렀고, 사건은 완벽하게 사라졌다. 지나버린 과거 사건일 뿐이라면 미련을 가질 필요가 없다. 그러나 한국사회는, 그리고 우리는 그때로부터 과연 얼마나 멀리 왔는가? 송두율 교수 사건을 통과하면서 다큐멘터리 감독으로서, 한 인간으로서 쉽지 않은 시간을 보냈다. 스스로의 내면을 정직하게 들여다보는 일은 힘겨울 수밖에 없다. 무엇이 나를 둘러싸고 있는지, 그리하여 어떻게 우리를 움직이는지... 이 영화가 한국사회를 들여다볼 수 있는 내면의 거울이 되기를 희망한다.,,,,,,,,,
2010,71215,계몽영화,드라마, 가족,박동훈,정승길, 김지인, 오연아,아버지의 임종을 지키기 위해 모인 가족들. 이 땅에서 큰 무리 없이 살고 있다고 보여지지만, 군데군데 어긋나고 있는 가족들. 딸의 과거, 아버지의 과거, 그 아버지의 아버지의 과거를 통해서 현재의 어긋남이 어디에서부터 시작되었는지, 어떤 선택들이 이들을 이렇게 방치하게 되었는지를 보여준다.,,,,,,,,,,,,,
2010,72523,고사 두 번째 이야기: 교생실습,공포, 스릴러,유선동,김수로, 황정음, 윤시윤,명문 사립 우성 고등학교는 여름 방학이 시작되면, 전교 1등부터 30등까지 생활관 특별 수업을 받게 된다. 전교 1등이자 우성고 최고의 엄친딸 지윤, 고교 야구선수 킹카 관우, 내성적이고 말이 없는 세희, 전직 고교 수영선수 나래, 로얄 스터디 그룹의 만년 2등 수일, 예민한 성격으로 성적 강박증을 가지고 있는 현아, 교내 스타 커플 용란과 JK 등 엘리트 학생 30명, 그리고 이들의 담임 선생님인 차선생과 새로 부임해 온 교생 선생님 은수가 학교에 남게 되었다. 첫 날의 수업이 끝나고 어느덧 밤 12:00. 갑자기, 조용한 독서실에서 찢어질 듯한 비명소리가 들려오고, 그 순간 천장에서 온 몸이 묶인 채 끔찍하게 살해 된 시체가 떨어진다. 그리고 교내 스피커를 통해서 들려오는 목소리… 아비규환의 상태에 빠진 아이들, 학교를 빠져 나가보려고 하지만, 이미 밖으로 통하는 모든 문은 잠겨진 상태. 생활관을 나가기 위해 온갖 수단을 동원해보지만 피할 수도, 맞설 수도 없는 상황, 정답을 맞추지 못하면… 모두가 죽는다! 사전 단서는 없다. 누군가는 먼저, 죽어야 한다…,,
2010,75572,고스트: 보이지 않는 사랑,드라마, 판타지, 미스터리, 멜로/로맨스, 스릴러,오오타니 타로,마츠시마 나나코, 송승헌,성공한 CEO ‘나나미’와 도자기를 배우기 위해 도쿄에 온 한국도예가 ‘준호’. 이루어 질 수 없었던 두 사람이 어려움 속에 연인이 되지만 나나미는 갑작스런 사고로 죽음을 당한다. 사랑하는 이를 떠날 수 없었던 나나미는 영혼이 되어 준호 곁에 맴돌고, 우여곡절 끝에 자신의 죽음에 대한 비밀을 알게 된다. 과연, 이들의 사랑은 이루어 질 수 있을까?,,,,,,,,,,,,,
2010,69945,골든 슬럼버,스릴러,나카무라 요시히로,사카이 마사토, 다케우치 유코,"숲의 도시 센다이. 반미 성향을 가진 젊은 신임 총리의 취임 퍼레이드 중 R/C(radio control) 헬기 폭탄이 폭발! 전국민이 목격하는 가운데 총리 암살 사건이 벌어진다. 현장 부근에선 택배기사인 아오야기가 대학시절 친구인 모리타와 오랜만에 재회하고 있다. 그러나 어딘가 모르게 이상한 친구는 아오야기에게 전한다. ""너는 총리 암살범으로 지목 당할 거야. 도망쳐! 오스월드처럼 될거야！수수께기 같은 말이 끝나자마자 폭발음과 함께 경찰들이 아오야기를 향해 총구를 겨누며 추격해 오는데… 아오야기가 암살현장에 있었음을 증언하는 목격자", R/C헬기를 조종하고 있는 아오야기의 증거 영상 등이 차례로 공개되고 그의 모든 과거는 그를 범인으로 몰아가는 증거가 된다. 왜, 일반 시민에게 누명을 씌운 것일까? 라는 의문을 해결할 방법도 여유도 없다. 체포가 아닌 그저 사살을 목적으로 다가오는 경찰을 피해 그가 할 수 있는 것은 필사적으로 도망치는 것 뿐! 그의 도주극은 어떻게 끝날 것인가? 그를 돕는 의문의 친구들이 하나 둘 나타나는 가운데… 모든 사건의 진상은 비틀즈의 명곡 '골든 슬럼버'가 쥐고 있다!,,,,,,,,,,,,,,,,,
2010,52075,공기인형,드라마, 멜로/로맨스, 판타지,고레에다 히로카즈,배두나, 이우라 아라타, 오다기리 죠,인간의 외로움을 달래기 위해 만들어진 공기인형 ‘노조미’에게 어느 날 갑자기 사람과 같은 감정이 생긴다. 마음과 감정이 생긴 ‘노조미’는 우연히 비디오 가게 점원 ‘준이치’를 보고 호감을 느끼고, 그가 일하는 가게에서 알바를 시작하게 된다. 꿈꾸고, 사랑하고, 감정을 갖게 된 ‘노조미’는 알바 중, 팔이 찢기는 사고를 당하게 되고 몸 속의 공기가 빠져나가는 모습을 ‘준이치’에게 보이고 마는데…  공기인형 ‘노조미’가 차가운 세상을 향해 전하는 따뜻한 위로의 메시지!,,,,,,,,,,,,
2010,53097,공자춘추전국시대,액션, 드라마,후메이,주윤발, 저우쉰, 젠빈천,천하통일을 위한 열망으로 전쟁이 난무하던 춘추전국시대. 노나라의 왕 ‘노정공’은 당대 최고의 책략가 ‘공자’를 등용해 무너져가는 왕권의 부활을 노린다. 뛰어난 지략과 강력한 카리스마를 발휘하며 수많은 전쟁과 내란으로 절체절명의 위기에 빠진 노나라를 구하는 공자! 그러나, 혼란의 시대, 끝없는 전쟁 속 공자를 탐하는 많은 나라와 그를 시기하는 무리로 인해, 공자는 곤경에 빠지게 되는데…,,,,,,,,,,,,,,
2010,66437,공주와 개구리,애니메이션, 가족, 뮤지컬, 멜로/로맨스,론 클레멘츠, 존 머스커,아니카 노니 로즈, 브루노 캄포스, 키스 데이빗,꿈 많은 소녀 '티아나'는 어느 날, 마법에 걸린 능글능글한 자칭 왕자 개구리를 만난다. 첫 만남에 키스를 원하는 뻔뻔함! 그러나 '개구리 왕자'이야기를 알고 있는 티아나는 '딱 한번만'이라는 말에 넘어가 그 푸르딩딩한 입술에 눈 딱감고 키스한다. 그리고 눈을 떴지만 왕자는 어디에도 없다. 그럼 뭐가 변한거지? 오 마이 갓, 그녀가 개구리로 변한다!,,,,,,,,,,,,
2010,135419,관능 소설가의 아내,에로,카미노 후토시,코히나타 아오이, 칸도 슈운,마루코는 오바라 카즈오의 아내이다. 그녀의 남편은 사이욘지 타카미치란 필명으로 활동하는  일본 제일의 관능 소설가이다. 그는 첫번째 부인과 사별한 후 한동안 절필하였으나, 그의 작품 의 열렬한 팬이었던 마루코와 재혼함과 동시에 다시 작품을 쓰기 시작한다. 그는 마로코와의 실연을 통해 작품을 써나가고, 결국 최고의 작품을 완성하게 된다,,,,,,,,,,,,,,,,,
2010,80615,괜찮아 아빠 딸,드라마,고흥식,문채원, 최진혁, 임강성,가족에 헌신적인 아빠 은기환을 중심으로 가족의 사랑을 그린 드라마.,,,,,,,,,,,,,,,,,,
2010,49550,괜찮아, 정말 괜찮아,코미디, 드라마,후지타 요스케,아라카와 요시요시, 기무라 요시노, 오카다 요시노리,헌책방의 장남이자 정원사인 ‘테루오’는 호러와 관계된 건 무엇이든 좋아해서 다른 사람을 놀라게 하는 것을 세끼 밥 먹는 것보다 좋아하는 아무 생각 없는 청년이다. 그의 꿈은 세상에서 가장 무서운 ‘귀신의 집’을 짓는 것. 성실하고 상냥한 샐러리맨인 그의 친구 ‘히사노부’는 ‘테루오’의 이상한 취미활동을 함께 한다. 일상생활의 모든 것에 서투른 화가 지망생 ‘아카리’는 우여곡절 끝에 ‘히사노부’의 회사에 파트타임으로 고용된다. ‘아카리’와 만난 ‘히사노부’와 ‘테루오’는 그녀에게 따뜻함을 느끼게 되고, 마음에서 진심으로 우러난 사랑의 삼각관계와 그들의 행복 찾기가 시작 되는데 …,,,,,,,,,,,,,,,
2010,129609,교도관 나오키,,,이토 아츠시, 카시이 유우, 이우라 아라타,교도관 나오키가 사형수와의 우정을 통해 삶을 생각하게 되는 이야기,,,,,,,,,,,,,,,,,,
2010,52234,구르믈 버서난 달처럼,드라마, 액션,이준익,황정민, 차승원, 한지혜,1592년 임진왜란 직전의 조선. 임진왜란의 기운이 조선의 숨통을 조여 오고 민초들의 삶은 피폐해져만 가던 선조 25년. 정여립, 황정학(황정민 분), 이몽학(차승원 분)은 평등 세상을 꿈꾸며 ‘대동계’를 만들어 관군을 대신해 왜구와 싸우지만 조정은 이들을 역모로 몰아 대동계를 해체시킨다. 대동계의 새로운 수장이 된 이몽학은 썩어빠진 세상을 뒤엎고 스스로 왕이 되려는 야망을 키우고 친구는 물론 오랜 연인인 백지(한지혜 분)마저 미련 없이 버린 채, 세도가 한신균 일가의 몰살을 시작으로 본격적인 반란의 칼을 뽑아 든다. 한때 동지였던 이몽학에 의해 친구를 잃은 전설의 맹인 검객 황정학은 그를 쫓기로 결심하고, 이몽학의 칼을 맞고 겨우 목숨을 건진 한신균의 서자 견자(백성현 분)와 함께 그를 추격한다. 15만 왜구는 순식간에 한양까지 쳐들어 오고, 왕조차 나라를 버리고 궁을 떠나려는 절체 절명의 순간. 이몽학의 칼 끝은 궁을 향하고, 황정학 일행 역시 이몽학을 쫓아 궁으로 향한다. 포화가 가득한 텅 빈 궁에서 마주친 이들은 운명을 건 마지막 대결을 시작하는데… 전쟁과 반란의 소용돌이 속에서, 세상 끝까지 달려간 이들의 이야기가 시작된다!,,,,,,,,,,
2010,101937,구름빵 1,애니메이션,,,어느날 아침, 홍비는 도롱도롱 빗방울 소리에 잠이 깨어 창 밖을 봅니다. 창 밖의 나무 가지엔 하얀 구름 한 조각이 걸려있습니다. 홍비는 동생 홍시와 함께 나무 가지에 걸린 솜털처럼 가벼운 구름 한 조각을 걷고는, 조심조심 안고서 엄마에게 가져다 줍니다. 엄마는 홍비와 홍시가 가져온 구름을 큰 그릇에 담고, 신선한 우유와 물을 붓고, 이스트와 소금, 설탕을 넣어 반죽을 하고, 작고 동그랗게 빚은 다음 오븐에 넣습니다. 그리고 45분이 지나자 맛있게 잘 익은 동그란 구름 모양의 구름빵이 고소한 냄새를 피우며 두둥실 떠오르고, 구름빵을 먹은 홍비와 홍시도 두둥실 떠오릅니다. 홍비와 홍시는 높이높이 하늘을 훨훨 날아서, 회사에 늦을세라 아침도 못 먹고 헐레벌떡 집을 나선 아빠에게 빵을 가져다 주기도 하고, 공공도서관에 있는 낙서되고 훼손된 책들을 고쳐주기도 하며, 어딘가로 사라지는 빨래들을 찾아 모험도 떠나게 됩니다.,,,,,,,,,,
2010,71424,귀,공포, 스릴러,김조광수, 여명준, 조은경,한예리, 한지은, 정인영,소녀와 눈을 마주친 소년. 그녀는 첫사랑을 잊지 못한 귀신. 그녀를 유일하게 알아본 소년에게 도움을 청한다. 아무도 모르게 죽어간 아이가 있는 폐교실에 들어선 소녀. 그 아이는 혼자인 게 싫었던 것일까? 소녀에게 출구는 점점 멀어지기만 하는데.. 절친했던 두 소녀. 둘을 갈라놓은 건 한 장의 학교장추천서와 학생회장 남학생. 영원할 줄 알았던 사랑의 맹세가 지켜지지 않자, 소녀는 죽어서라도 함께 하고자 하는데…. 사라진 아이들이 아직도 다니고 있는 그 학교에선 무슨 일이 벌어지고 있는 것일까?,,,,,,,,,,,,,,
2010,71374,그 남자가 아내에게,드라마, 가족, 멜로/로맨스,유키사다 이사오,야쿠시마루 히로코, 토요카와 에츠시,자유분방한 성격의 사진작가 슌스케와 남편의 내조를 위해 정성을 다하는 사쿠라는 결혼 10년차 부부. 무엇에도 얽매이기 싫어하는 철없는 남편 슌스케는 자신을 향한 아내의 애정이 귀찮기만 하고, 더 늦기 전에 아이를 갖기 원하는 사쿠라는 남편의 마음을 되돌리기 위해 결혼 10주년 기념 오키나와 여행을 제안한다. 이번 여행에선 싸우지 말자고 굳게 약속한 두 사람, 눈부시게 아름다운 오키나와의 풍경을 뒤로 한 채 호텔에 누워만 있던 슌스케는 밖으로 나가자는 사쿠라의 성화에 못 이겨 결국 사진기를 들고 아내와 함께 나선다. 결혼 반지를 두고 왔다며 숙소로 되돌아간 사쿠라는 시간이 지나도 돌아오지 않고, 그녀를 한없이 기다리던 슌스케는 예상치 못한 아내의 사고 소식을 접하게 되는데...,,,,,,,,,,,,,,
