6559,세번째 보는 지금에서야 비로소 아팠고 울었다. 이제 내 나이가 찼고 가난의 의미와 사랑  상실  그리고 현실. 이런 것들을 내가 지나왔다는 것을 알았다.,1
6561,가성비 갑의 재능을 지닌 호러명가  블룸하우스의 능력을 재확인하는 영화. 스토리가 군더더기 없이 말끔하다.,1
6562,고대해 온 블룸하우스 웰메이드 스릴러,1
6563,악당이 매번 탈출하고.. 악당부하는 무슨 무한리필맛집이야?? 1대다수 총격전인데 그걸 권총으로 다 쌉아드는건 뭐야;; 액션돞좋지만 몰입감이 떨어지는듯,0
6564,이름다운 이태리 해변가에서인생을 논하며부르는 노래가 감동입니다,1
6565,어릴적에 보고 아직도 생각나는 영화또보고싶어서 와봤어요,1
6566,와.. 진짜 꽉 채운 연기와 연출 오랜만에 액션스릴러 영화다 하고 봤습니다.,1
6567,최악이긴 하네요.,0
6568,내 인생의 최고의 영화 영화를 좋아하는데 가타카는 보려 시도하지 않다가 뒤늦게 보게됐는데 정말 원하는것에 열정이 있다면 할 수 있다는 희망을 준 영화,1
6569,간만에 생각나서 봤는데 킬링타임용으로 완전좋네요.충청도 느낌 물씬,1
6571,오랜만에 만난 좋은 스릴러 영화.,1
6574,이상과 현실의 괴리가 너무 큰 여자와 진실한 사랑을 믿는 남자의 이야기. 해피앤딩으로 마무리했지만 결국 열린 결말.,1
6575,잠 않오시는분들 강추. . 꿀잠 보장. .보약같은 영화. 10분안에 숙면. .,0
6577,놀이공원에서 갑자기 총질을??,0
6578,자식을 둔 부모지만 이런 억지스런 스토리 전개와 오버스런 연기및 연출 이영화를 보고 이정현이 연기를 못한다는걸 알게되었고 우리나라 여경의 현위치를 알려준 영화. 현실이었다면 아이엄마로써 과연 저렇게 했을까??라는 의구심만 키워주고 아이엄마지만 경찰이라는 신분으로 저런 판단을 했다는거 자체가 아류작임을 증명하는 영화. 스토리며 연출이며 연기며 보는내내 불편한 영화이다.,0
6579,재미?뭐가?탑건1에서 끝났다면ㅠ,0
6581,두 주연배우의 연기 그리고 마리사 토메이가 너무 매력적임,1
6582,보건부에서 제작비 지원한 코로나 대처방법 대국민 홍보 영화인줄,0
6584,괜찮아 현빈 다니엘 얼굴이 재밋어,0
6586,감독님? 저 울어야 했던거죠?? 죄송해요,0
6587,총체적 난국의 연속…어떻게 이렇게 개판일 수 있지?,0
6588,예전에 못봤지만 보면서 울었습니다,1
6589,범죄인지 선악인지 구분이않가고요. 교훈이란건없고 재미도 없고 무기배달하고돈배하고 학살자똥칠하는그저그런 영화임.끝 (수정) OO이런내용이면 네임드감독말고 참신아이디어가진감독한테 기회! 가갔으면한다.뻘소리다 재밌게봐라,0
6591,김호중 무비를 영화로보니 정말로 감동입니다 몇번을 봤는데도 다시 가고픈 여운이남네요,1
6592,아름답고 멋진이탈리아의 멋진 배경에 최고의 가창력으로 버스킹. 음악 창작 하는 모습이 너무 인상적이고 감동적이었어요,1
6593,재밌게 잘봤어요 잘생긴남자둘이랑해진님 김넌규님 멋있게 나오고 액션이며전개며 지루하지 않았어요,1
6594,잠 안와서 조용한 영화보려다가 눈물 찔끔 해버렸슴다...,1
6595,나도 이 영화는 괜찮은 B급 영화 인거 같다!!평점들 너무 짜. 밸런스를 위해 나도 10점.,1
6596,중반까지는 너무 좋았다 꼬이고 꼬이는 전개 왜? 라는 물음이 내 마음에 들면서 재밌게 보다가 이정현이 갑자기 슈퍼맨으로 변한다 정말 왜소해 보이고 힘도 없어 보이는데 절대 안죽는다 그때부터 집중된 정신을 놨다.,0
6597,연기잘하는배우들 모아놓고 스토리 전개 완젼 쉐엣..너무하네…정말 ….총이 왜나와 대사치는것도 안들리고…넘해 ㅠ정말,1
6598,소름 끼치는 영화다,0
6600,현빈은 영화보다 드라마에서 더 빛난다.영화 각본 고르는 눈은 꽝이 많았음,0
6601,관객의 상상력 짖눌러 버리는 영화,0
6602,아름다운 빵아저씨 내내 볼수있는것만으로도 만족,1
6603,색깔놀이면 어떠냐?드래곤볼 원작자 토리야마 아키라가 직접 쓴 각본이란게 제일 중요하지...감독 코다마의 장편데뷔작이자 극장판 입봉작이란걸 생각하면 영상천재다.,1
6606,2회차 보고싶은 영화,1
6607,퍡트를 말할게요 감독님 감독하지말고 앞으로 작품 신중하게 하시게요 이정현님을 꽃잎연기에서 아줌마연기로 만드셨네요 ㅋ 정현님 꽃잎에 연기와 와 노래부를때 끼는 다 사라지게한건가요? 정현님 이런 영화에 발담궈 왜 연기적인부분을늦추는지 이해가 안감요 팬으로서 자괴감이 듬요,0
6608,저는 개인적으로 좋은작품이라고 생각하며 잘봤습니다.,1
6609,따뜻함과 쓸쓸함 사이에서 왔다갔다.. 인생처럼 알수 없는 기분,1
6611,아름다운 영상미와 맥어보이의 리즈시절을 엿볼수있는 최고의 드라마가 있는 영화다.하지만 브라이오니를 보는내내 너무 화가 났다.결국엔 자기 합리화로 마무리하는...이룰수 없어 슬픈 두남녀의 사랑이야기ㅠㅠ,1
6612,감기 판도라를 잇는 신파극.출연 배우가 아깝다.,0
6613,정말 이게 2022년 대한민국에서 개봉한 영화란 말인가 ? 92년 아니고 ? 참담한 심정이다.리얼리티 0%에 억지 설정에 억지 감정선...뻔한 억지 전개...에휴...이런건 92년쯤에나 통했지...2022년에는 절대 통하지 않는다.좀 그럴듯해야 봐주지...저 좋은 배우들을 데리고 이따위라니 참담하다.,0
6615,숨겨진 한국 명작을 찾는데 오랜 시간이 걸렸다.. 이 영화가 1시간 30분이라는 게 너무 아쉽다. 10시간이라도 볼 수 있는 잔잔한 힐링 영화. 김태우 연기 너무 잘한다.,1
6616,공조1보단 더 재미있음,1
6617,이게 배트맨이지. 마지막 오토바이 엔딩씬은 정말 여운이 많이남는다.,1
6618,스토리와 영상미 수준높은 음악과 가창력이 돋보이는 음악여행 최고네요,1
6620,아버지 세대에 스타워즈가 있었다면 우리 세대에는 아이언맨이 있다,1
6621,사이다인줄 알았더니 용두사미 ㅠㅠ,0
6622,전편보다 잼나고 볼만하네요 주인공들이캐미도 좋구요,1
6623,NOPE = 응아니야. 직역하면 이게 딱 일듯,0
6625,평점 왜이래~ 난 너무 재밌는데요,1
6626,표정연기의 새로운 패러다임의도와 의미를 전혀 알수없는감정연기들이 매력적이었네요이름 그대로 킬링타임용이네요,1
6627,철령이 나와도 좋은데 잭은 더 좋아!,1
6628,넥플릭스 삭제 시켜주셔서 덕분에 치킨값을 벌었어요,1
6629,평론가들 있어보이는척하는거 킹받네 ㅋㅋ,0
6630,2편도 레전드인 작품인듯,1
6631,탑건매버릭 진짜 재밋긴 재밌더라,1
6633,감각적인 촬영과 스토리텔링 방식이 좋다.,1
6634,난 잼있던데..평가 오바로 안좋네..분노의 질주 한국판에 레트로 감성 충만..하여튼 난 잼있게봤다.,1
6635,리얼재미없음..,0
6636,배우들 라인업 때문에 많이 기대 했다가 실망 한 사람들이 있을 수는 있겠고 간혹 너무 오바스러운 연출 때문에 거슬릴 수 있겠다. 그래도 이정도면 충분히 빠져들어 재미있게 보기에 충분하고 맹숭맹숭한 결말은 어찌보면 더욱 현실적이라고 보이기도 한다. 그냥 긍정적으로 생각하고 편하게 감상하기엔 충분히 재미있는 재난영화라 생각됨,1
6637,경사 짬밥은 어디로 드신거죠?이러니 여경이 욕먹음노잼요,0
6638,불가능은 생각조차 하지 않고 그저 몰두하여 결국 꿈을 이루는 주인공..이렇게 치열하게 꿈을 위해 사는 주인공이 멋있다,1
6641,류승룡 마지막 연기가 좋아서 십점 그리고 이진욱 눈빛이 멋있네 허허 ㅋㅋ,1
6643,3D의 노하우가 쌓여서 역동적인 카메라워크가인상적이고 타격감 느껴지는 연출도 좋았다.,1
6645,하... 대박이네그냥,1
6646,한중합작영화임? 영화 끝나오 나오는 크레딧에 한국사람들이 왤캐 많이 나오지? 내용은 그냥 짜장듬북이지 친중종북 영화는 아니었던거 같은데,0
6648,평점이 너무 낮아 기대안하고 봤는데 완전 재밌네요~평점 아쉬워 10점 드립니다.전우치 엄청 재밌게 봤었어서 오랜만에 전우치 같은 영화 또 봐서 좋았어요~~우왕좌왕이 ㅋㅋ넷플에 올라왔으면 반응이 더 좋았을거 같다는 생각을 해봅니다.,1
6650,진짜 너무 재미없던데 평점 진짜 높네. 대체 뭔 내용이냐 이게,0
6652,연출이 엉성합니다.. 화면 앵글도 후지고.. 배우들 연기지도 좀 해야할듯 제발 영화 좀 대충 만들지 맙시다.. 이 정도로는 관객들의 눈높이를 맞추지 못할 듯 합니다..,0
6654,굿,1
6655,또 확실해졌네. MCU는 디즈니 시대의 전후로 퀄리티가 나뉜다는 거. 앞으로 더 많은 디즈니산을 봐야하는 게 절망이지. 스타워즈처럼,0
6656,반평생 이상 살아오면서 숱한 영화들을 봤지만 이렇게 지루하고  이렇게 졸리며  이렇게 어이 없는 영화 보기도 쉽지 않다. 탕웨이는 최악의 캐스팅이고 뭐 하나 내세울 수 없는 졸작 중의 졸작이다. 어디 가서 영화라고 부르지 마라. 칸느? 영화제 입상과 명작은 비례하지 않으며 교훈이나 쾌락이 없는 영화는 이미 쓰레기다.,0
6657,처음에 너무 허접할거같았는데 각본이 탄탄하네요. 스토리 진행할수록 꿀잼. 후반부 영상미와 몰입도는 ㄹㅇ 너무 좋았다. 엔딩 크레딧도 og,1
